Modello,Accuratezza
SVM,"{'accuracy': 0.9662716499544212, 'precision': 0.9442508710801394, 'recall': 0.9908592321755028, 'f1': 0.9669937555753791}"
Random Forest,"{'accuracy': 0.9553327256153145, 'precision': 0.9368421052631579, 'recall': 0.9762340036563071, 'f1': 0.9561324977618622}"
MLP,"{'accuracy': 0.9662716499544212, 'precision': 0.9473684210526315, 'recall': 0.9872029250457038, 'f1': 0.9668755595344674}"
Voting Ensemble,"{'accuracy': 0.96718322698268, 'precision': 0.9458987783595113, 'recall': 0.9908592321755028, 'f1': 0.9678571428571429}"
